upload,uploads,uploading,uploaded
render,renders,rendering,rendered
reenact,reenacts,reenacting,reenacted
jackknife,jackknifes,jackknifing,jackknifed
hamstring,hamstrings,hamstringing,hamstrung
operatize,operatizes,operatizing,operatized
guzzle,guzzles,guzzling,guzzled
unsnap,unsnaps,unsnapping,unsnapped
disembark,disembarks,disembarking,disembarked
headreach,headreaches,headreaching,headreached
tangle,tangles,tangling,tangled
equipoise,equipoises,equipoising,equipoised
illustrate,illustrates,illustrating,illustrated
centrifuge,centrifuges,centrifuging,centrifuged
unfetter,unfetters,unfettering,unfettered
vibrate,vibrates,vibrating,vibrated
compromise,compromises,compromising,compromised
fumble,fumbles,fumbling,fumbled
gate-crash,gate-crashes,gate-crashing,gate-crashed,gate-crashed
inflate,inflates,inflating,inflated
filibuster,filibusters,filibustering,filibustered
efface,effaces,effacing,effaced
decentralize,decentralizes,decentralizing,decentralized
scant,scants,scanting,scanted
tithe,tithes,tithing,tithed
rebuff,rebuffs,rebuffing,rebuffed
earbash,earbashes,earbashing,earbashed
septuple,septuples,septupling,septupled
hike,hikes,hiking,hiked
incase,incases,incasing,incased
iron,irons,ironing,ironed
encash,encashes,encashing,encashed
tritiate,tritiates,tritiating,tritiated
effectuate,effectuates,effectuating,effectuated
rewrite,rewrites,rewriting,rewrote,rewritten
temporize,temporizes,temporizing,temporized
navigate,navigates,navigating,navigated
resound,resounds,resounding,resounded
metathesize,metathesizes,metathesizing,metathesized
sconce,sconces,sconcing,sconced
lull,lulls,lulling,lulled
cadge,cadges,cadging,cadged
ponder,ponders,pondering,pondered
quarry,quarries,quarrying,quarried
widen,widens,widening,widened
leapfrog,leapfrogs,leapfrogging,leapfrogged
rehouse,rehouses,rehousing,rehoused
transmit,transmits,transmitting,transmitted
pilgrimage,pilgrimages,pilgrimaging,pilgrimaged
finagle,finagles,finagling,finagled
quieten,quietens,quietening,quietened
writhe,writhes,writhing,writhed
backcross,backcrosses,backcrossing,backcrossed
affiance,affiances,affiancing,affianced
fillagree,fillagrees,fillagreeing,fillagreed
phase,phases,phasing,phased
grave,graves,graving,graven
unship,unships,unshipping,unshipped
syllabize,syllabizes,syllabizing,syllabized
demagnetize,demagnetizes,demagnetizing,demagnetized
vouch,vouches,vouching,vouched
swamp,swamps,swamping,swamped
bracket,brackets,bracketing,bracketed
oppress,oppresses,oppressing,oppressed
reserve,reserves,reserving,reserved
iodate,iodates,iodating,iodated
toast,toasts,toasting,toasted
tauten,tautens,tautening,tautened
re-dress,re-dresses,re-dressing,redressed,re-dressed
do,does,doing,did,done,don't,doesn't,didn't
reorientate,reorientates,reorientating,reorientated
aestivate,aestivates,aestivating,aestivated
wham,whams,whamming,whammed
photostat,photostats,photostatting,photostatted
stead,steads,steading,steaded
psyche,psyches,psyching,psyched
recurve,recurves,recurving,recurved
disincline,disinclines,disinclining,disinclined
bother,bothers,bothering,bothered
compere,comperes,compering,compered
reread,rereads,rereading,reread
misdirect,misdirects,misdirecting,misdirected
bioassay,bioassays,bioassaying,bioassayed
misname,misnames,misnaming,misnamed
ruffle,ruffles,ruffling,ruffled
mitch,mitches,mitching,mitched
begrime,begrimes,begriming,begrimed
drawl,drawls,drawling,drawled
breakaway,breakaways,breakawaying,breakawayed
disorganize,disorganizes,disorganizing,disorganized
embody,embodies,embodying,embodied
emulsify,emulsifies,emulsifying,emulsified
unfold,unfolds,unfolding,unfolded
anele,aneles,aneling,aneled
cop,cops,copping,copped
cow,cows,cowing,cowed
cox,coxes,coxing,coxed
bray,brays,braying,brayed
cob,cobs,cobbing,cobbed
brag,brags,bragging,bragged
cod,cods,codding,codded
cog,cogs,cogging,cogged
coo,coos,cooing,cooed
conn,cons,conning,conned
tone,tones,toning,toned
abbreviate,abbreviates,abbreviating,abbreviated
spear,spears,spearing,speared
boxhaul,boxhauls,boxhauling,boxhauled
refile,refiles,refiling,refiled
edulcorate,edulcorates,edulcorating,edulcorated
speak,speaks,speaking,spoken
impersonalize,impersonalizes,impersonalizing,impersonalized
revegetate,revegetates,revegetating,revegetated
accentuate,accentuates,accentuating,accentuated
backwash,backwashes,backwashing,backwashed
Christianize,Christianizes,Christianizing,Christianized,Christianized
revoice,revoices,revoicing,revoiced
excite,excites,exciting,excited
hacksaw,hacksaws,hacksawing,hacksawed,hacksawn
overtax,overtaxes,overtaxing,overtaxed
hap,haps,happing,happed
hoist,hoists,hoisting,hoisted
spellbind,spellbinds,spellbinding,spellbound
disarrange,disarranges,disarranging,disarranged
nosedive,nosedives,nosediving,nosedived
inhibit,inhibits,inhibiting,inhibited
solvate,solvates,solvating,solvated
sculpt,sculpts,sculpting,sculpted
air,airs,airing,aired
aim,aims,aiming,aimed
ail,ails,ailing,ailed
thrash,thrashes,thrashing,thrashed
aid,aids,aiding,aided
voice,voices,voicing,voiced
mistake,mistakes,mistaking,mistook,mistaken
souse,souses,sousing,soused
dislimn,dislimns,dislimning,dislimned
sting,stings,stinging,stung
dizzy,dizzies,dizzying,dizzied
brake,brakes,braking,braked
cone,cones,coning,coned
exile,exiles,exiling,exiled
uplift,uplifts,uplifting,uplifted
conk,conks,conking,conked
stint,stints,stinting,stinted
deadhead,deadheads,deadheading,deadheaded
feaze,feazes,feazing,feazed
perform,performs,performing,performed
grapple,grapples,grappling,grappled
descend,descends,descending,descended
hank,hanks,hanking,hanked
raid,raids,raiding,raided
fuss,fusses,fussing,fussed
coproduce,coproduces,coproducing,coproduced
swell,swells,swelling,swelled,swollen
hang,hangs,hanging,hung
rain,rains,raining,rained
hand,hands,handing,handed
larrup,larrups,larruping,larruped
nix,nixes,nixing,nixed
fuze,fuzes,fuzing,fuzed
descry,descries,descrying,descried
sweettalk,sweettalks,sweettalking,sweettalked
deemphasize,deemphasizes,deemphasizing,deemphasized
jangle,jangles,jangling,jangled
humble,humbles,humbling,humbled
drip,drips,dripping,dripped
gratulate,gratulates,gratulating,gratulated
jay-walk,jay-walks,jaywalking,jaywalked,jay-walked
contact,contacts,contacting,contacted
snigger,sniggers,sniggering,sniggered
singlespace,singlespaces,singlespacing,singlespaced
skivvy,skivvies,skivvying,skivvied
bereave,bereaves,bereaving,bereaved
mingle,mingles,mingling,mingled
halloo,halloos,hallooing,hallooed
dignify,dignifies,dignifying,dignified
repose,reposes,reposing,reposed
rarify,rarifies,rarifying,rarified
extoll,extols,extolling,extolled
rollerskate,rollerskates,rollerskating,rollerskated
interweave,interweaves,interweaving,interwoven
varitype,varitypes,varityping,varityped
attemper,attempers,attempering,attempered
exalt,exalts,exalting,exalted
shout,shouts,shouting,shouted
spread,spreads,spreading,spread
board,boards,boarding,boarded
basset,bassets,basseting,basseted
shoulder,shoulders,shouldering,shouldered
retread,retreads,retreading,retreaded
botanize,botanizes,botanizing,botanized
barge,barges,barging,barged
retreat,retreats,retreating,retreated
disadvantage,disadvantages,disadvantaging,disadvantaged
rustle,rustles,rustling,rustled
overfly,overflies,overflying,overflew,overflown
airdrop,airdrops,airdropping,airdropped
kyanize,kyanizes,kyanizing,kyanized
snug,snugs,snugging,snugged
revalorize,revalorizes,revalorizing,revalorized
grizzle,grizzles,grizzling,grizzled
reassign,reassigns,reassigning,reassigned
augur,augurs,auguring,augured
thole,tholes,tholing,tholed
antique,antiques,antiquing,antiqued
snub,snubs,snubbing,snubbed
flatter,flatters,flattering,flattered
rile,riles,riling,riled
hassle,hassles,hassling,hassled
flatten,flattens,flattening,flattened
bore,bores,boring,bored
glamourize,glamourizes,glamourizing,glamourized
cede,cedes,ceding,ceded
matriculate,matriculates,matriculating,matriculated
vassalize,vassalizes,vassalizing,vassalized
peek,peeks,peeking,peeked
peen,peens,peening,peened
peel,peels,peeling,peeled
pulverize,pulverizes,pulverizing,pulverized
elucidate,elucidates,elucidating,elucidated
pose,poses,posing,posed
confer,confers,conferring,conferred
ply,plies,plying,plied
depoliticize,depoliticizes,depoliticizing,depoliticized
outrival,outrivals,outrivalling,outrivalled
peep,peeps,peeping,peeped
poss,posses,possing,possed
chafe,chafes,chafing,chafed
chaff,chaffs,chaffing,chaffed
tryst,trysts,trysting,trysted
visa,visas,visaing,visaed
plenish,plenishes,plenishing,plenished
cherish,cherishes,cherishing,cherished
croak,croaks,croaking,croaked
clomb,clombs,clombing,clombed
mantle,mantles,mantling,mantled
float,floats,floating,floated
bound,bounds,bounding,bounded
clomp,clomps,clomping,clomped
obligate,obligates,obligating,obligated
wrongfoot,wrongfoots,wrongfooting,wrongfooted
stumble,stumbles,stumbling,stumbled
wan,wans,wanning,wanned
familiarize,familiarizes,familiarizing,familiarized
connote,connotes,connoting,connoted
wag,wags,wagging,wagged
segment,segments,segmenting,segmented
wad,wads,wadding,wadded
frill,frills,frilling,frilled
fight,fights,fighting,fought
gybe,gybes,gybing,gybed
tartarize,tartarizes,tartarizing,tartarized
fizz,fizzes,fizzing,fizzed
catalyze,catalyzes,catalyzing,catalyzed
pirouette,pirouettes,pirouetting,pirouetted
bespatter,bespatters,bespattering,bespattered
converse,converses,conversing,conversed
imparadise,imparadises,imparadising,imparadised
true,trues,truing,trued
muss,musses,mussing,mussed
absent,absents,absenting,absented
scrimmage,scrimmages,scrimmaging,scrimmaged
detribalize,detribalizes,detribalizing,detribalized
variolate,variolates,variolating,variolated
emit,emits,emitting,emitted
corrade,corrades,corrading,corraded
flatter,flats,flatting,flatted
abstract,abstracts,abstracting,abstracted
molt,molts,molting,molted
evidence,evidences,evidencing,evidenced
manure,manures,manuring,manured
subsist,subsists,subsisting,subsisted
face,faces,facing,faced
encrypt,encrypts,encrypting,encrypted
stake,stakes,staking,staked
shrine,shrines,shrining,shrined
repay,repays,repaying,repaid
test,tests,testing,tested
upholster,upholsters,upholstering,upholstered
outmanoeuvre,outmanoeuvres,outmanoeuvring,outmanoeuvred
frolic,frolics,frolicking,frolicked
cicatrize,cicatrizes,cicatrizing,cicatrized
orate,orates,orating,orated
heroworship,heroworships,heroworshipping,heroworshipped
truncate,truncates,truncating,truncated
stutter,stutters,stuttering,stuttered
welcome,welcomes,welcoming,welcomed
outreach,outreaches,outreaching,outreached
troupe,troupes,trouping,trouped
volcanize,volcanizes,volcanizing,volcanized
ramify,ramifies,ramifying,ramified
contango,contangoes,contangoing,contangoed
faze,fazes,fazing,fazed
tautologize,tautologizes,tautologizing,tautologized
bottom,bottoms,bottoming,bottomed
urbanize,urbanizes,urbanizing,urbanized
gyrate,gyrates,gyrating,gyrated
re-trace,re-traces,re-tracing,retraced,re-traced
denunciate,denunciates,denunciating,denunciated
platemark,platemarks,platemarking,platemarked
incarcerate,incarcerates,incarcerating,incarcerated
dance,dances,dancing,danced
debauch,debauches,debauching,debauched
supplement,supplements,supplementing,supplemented
battle,battles,battling,battled
bottlefeed,bottlefeeds,bottlefeeding,bottlefed
suffumigate,suffumigates,suffumigating,suffumigated
varnish,varnishes,varnishing,varnished
matchmark,matchmarks,matchmarking,matchmarked
zone,zones,zoning,zoned
graph,graphs,graphing,graphed
hump,humps,humping,humped
flash,flashes,flashing,flashed
counterattack,counterattacks',counter-attacking,counterattacked,counter-attacked
compensate,compensates,compensating,compensated
tusk,tusks,tusking,tusked
overbuild,overbuilds,overbuilding,overbuilt
brown,browns,browning,browned
predicate,predicates,predicating,predicated
congest,congests,congesting,congested
faceharden,facehardens,facehardening,facehardened
chirrup,chirrups,chirruping,chirruped
twotime,twotimes,twotiming,twotimed
sunbathe,sunbathes,sunbathing,sunbathed
kitten,kittens,kittening,kittened
trouble,troubles,troubling,troubled
blast,blasts,blasting,blasted
bring,brings,bringing,brought
subinfeudate,subinfeudates,subinfeudating,subinfeudated
Latinize,Latinizes,Latinizing,Latinized,Latinized
gun,guns,gunning,gunned
gum,gums,gumming,gummed
stylopize,stylopizes,stylopizing,stylopized
burgeon,burgeons,burgeoning,burgeoned
guy,guys,guying,guyed
disqualify,disqualifies,disqualifying,disqualified
Grecize,Grecizes,Grecizing,Grecized,Grecized
brave,braves,braving,braved
regret,regrets,regretting,regretted
trill,trills,trilling,trilled
discover,discovers,discovering,discovered
agitate,agitates,agitating,agitated
cosh,coshes,coshing,coshed
circumnutate,circumnutates,circumnutating,circumnutated
grump,grumps,grumping,grumped
cost,costs,costing,cost
stupefy,stupefies,stupefying,stupefied
tempest,tempests,tempesting,tempested
curse,curses,cursing,curst
appear,appears,appearing,appeared
avouch,avouches,avouching,avouched
galumph,galumphs,galumphing,galumphed
havoc,havocs,havocking,havocked
chuff,chuffs,chuffing,chuffed
telex,telexes,telexing,telexed
handpick,handpicks,handpicking,handpicked
appeal,appeals,appealing,appealed
satisfy,satisfies,satisfying,satisfied
unbosom,unbosoms,unbosoming,unbosomed
chicane,chicanes,chicaning,chicaned
widow,widows,widowing,widowed
gawk,gawks,gawking,gawked
disclaim,disclaims,disclaiming,disclaimed
illumine,illumines,illumining,illumined
gawp,gawps,gawping,gawped
English,Englishes,Englishing,Englished,Englished
gorge,gorges,gorging,gorged
reexamine,reexamines,reexamining,reexamined
tubulate,tubulates,tubulating,tubulated
change,changes,changing,changed
buck,bucks,bucking,bucked
theorize,theorizes,theorizing,theorized
eke,ekes,eking,eked
disavow,disavows,disavowing,disavowed
detonate,detonates,detonating,detonated
conciliate,conciliates,conciliating,conciliated
pillow,pillows,pillowing,pillowed
boult,boults,boulting,boulted
infract,infracts,infracting,infracted
paragon,paragons,paragoning,paragoned
gesticulate,gesticulates,gesticulating,gesticulated
market,markets,marketing,marketed
knurl,knurls,knurling,knurled
subvert,subverts,subverting,subverted
captivate,captivates,captivating,captivated
rejuvenate,rejuvenates,rejuvenating,rejuvenated
coalesce,coalesces,coalescing,coalesced
live,lives,living,lived
slough,sloughs,sloughing,sloughed
meliorate,meliorates,meliorating,meliorated
stomach,stomaches,stomaching,stomached
privateer,privateers,privateering,privateered
entrance,entrances,entrancing,entranced
club,clubs,clubbing,clubbed
cluck,clucks,clucking,clucked
clue,clues,cluing,clued
reunify,reunifies,reunifying,reunified
judder,judders,juddering,juddered
pedestrianize,pedestrianizes,pedestrianizing,pedestrianized
prepay,prepays,prepaying,prepaid
douche,douches,douching,douched
machicolate,machicolates,machicolating,machicolated
cap,caps,capping,capped
caw,caws,cawing,cawed
cat,cats,catting,catted
purge,purges,purging,purged
miaul,miauls,miauling,miauled
can,could,can't,couldn't
heart,hearts,hearting,hearted
attribute,attributes,attributing,attributed
chip,chips,chipping,chipped
nock,nocks,nocking,nocked
chondrify,chondrifies,chondrifying,chondrified
abort,aborts,aborting,aborted
chin,chins,chinning,chinned
refine,refines,refining,refined
manhandle,manhandles,manhandling,manhandled
occur,occurs,occurring,occurred
bankrupt,bankrupts,bankrupting,bankrupted
lounge,lounges,lounging,lounged
despair,despairs,despairing,despaired
intrench,intrenches,intrenching,intrenched
deteriorate,deteriorates,deteriorating,deteriorated
escalate,escalates,escalating,escalated
dive,dives,diving,dove,dived
bawl,bawls,bawling,bawled
countermand,countermands,countermanding,countermanded
produce,produces,producing,produced
bear,bears,bearing,borne
restate,restates,restating,restated
coagulate,coagulates,coagulating,coagulated
flourish,flourishes,flourishing,flourished
wainscot,wainscots,wainscoting,wainscoted
crepe,crepes,creping,creped
remember,remembers,remembering,remembered
ammonify,ammonifies,ammonifying,ammonified
rebut,rebuts,rebutting,rebutted
denaturalize,denaturalizes,denaturalizing,denaturalized
offend,offends,offending,offended
crumple,crumples,crumpling,crumpled
stilt,stilts,stilting,stilted
forfeit,forfeits,forfeiting,forfeited
utilize,utilizes,utilizing,utilized
brain,brains,braining,brained
brail,brails,brailing,brailed
cityfy,cityfies,cityfying,cityfied
birdy,birdies,birdying,birdied
cachinnate,cachinnates,cachinnating,cachinnated
cold,colds,colding,colded
brede,bredes,breding,breded
iceskate,iceskates,iceskating,iceskated
trifle,trifles,trifling,trifled
acknowledge,acknowledges,acknowledging,acknowledged
moisturize,moisturizes,moisturizing,moisturized
window,windows,windowing,windowed
suffocate,suffocates,suffocating,suffocated
waggle,waggles,waggling,waggled
crossindex,crossindexes,crossindexing,crossindexed
interrelate,interrelates,interrelating,interrelated
halter,halts,halting,halted
fling,flings,flinging,flung
nod,nods,nodding,nodded
rake,rakes,raking,raked
overcrowd,overcrowds,overcrowding,overcrowded
introduce,introduces,introducing,introduced
flint,flints,flinting,flinted
half,halves
recap,recaps,recaping,recaped
damnify,damnifies,damnifying,damnified
provision,provisions,provisioning,provisioned
discuss,discusses,discussing,discussed
expedite,expedites,expediting,expedited
wont,wonts,wonting,wonted
daub,daubs,daubing,daubed
placate,placates,placating,placated
jump-up
sop,sops,sopping,sopped
drop,drops,dropping,dropped
deify,deifies,deifying,deified
kerne,kerns,kerning,kerned
degauss,degausses,degaussing,degaussed
outsail,outsails,outsailing,outsailed
pommel,pommels,pommelling,pommelled
double-fault,double-faults,double-faulting,double-faulted,double-faulted
enisle,enisles,enisling,enisled
grouse,grouses,grousing,groused
yean,yeans,yeaning,yeaned
obturate,obturates,obturating,obturated
wrapped,wraps,wrapping,wrapped
replay,replays,replaying,replayed
forgat,forgats,forgating,forgated
counteract,counteracts,counteracting,counteracted
accomplish,accomplishes,accomplishing,accomplished
precontract,precontracts,precontracting,precontracted
space,spaces,spacing,spaced
showd,showds,showding,showded
thirst,thirsts,thirsting,thirsted
increase,increases,increasing,increased
hallucinate,hallucinates,hallucinating,hallucinated
instate,instates,instating,instated
circumscribe,circumscribes,circumscribing,circumscribed
tweeze,tweezes,tweezing,tweezed
scandalize,scandalizes,scandalizing,scandalized
carp,carps,carping,carped
caway,caways,cawaying,cawayed
cark,carks,carking,carked
conglutinate,conglutinates,conglutinating,conglutinated
repurchase,repurchases,repurchasing,repurchased
card,cards,carding,carded
care,cares,caring,cared
moult,moults,moulting,moulted
clarion,clarions,clarioning,clarioned
outcry,outcries,outcrying,outcried
profess,professes,professing,professed
support,supports,supporting,supported
blind,blinds,blinding,blinded
incurvate,incurvates,incurvating,incurvated
trode,trodes,troding,troded
antevert,anteverts,anteverting,anteverted
blink,blinks,blinking,blinked
consecrate,consecrates,consecrating,consecrated
demote,demotes,demoting,demoted
zap,zaps,zapping,zapped
size,sizes,sizing,sized
imprecate,imprecates,imprecating,imprecated
sheer,sheers,sheering,sheered
sheet,sheets,sheeting,sheeted
breed,breeds,breeding,bred
callous,callouses,callousing,calloused
browbeat,browbeats,browbeating,browbeaten
purloin,purloins,purloining,purloined
checker,checkers,checkering,checkered
trephine,trephines,trephining,trephined
uncurl,uncurls,uncurling,uncurled
friend,friends,friending,friended
thaw,thaws,thawing,thawed
fraction,fractions,fractioning,fractioned
delate,delates,delating,delated
sewer,sewers,sewering,sewered
repossess,repossesses,repossessing,repossessed
disabuse,disabuses,disabusing,disabused
glimmer,glimmers,glimmering,glimmered
peck,pecks,pecking,pecked
aromatize,aromatizes,aromatizing,aromatized
hypersensitize,hypersensitizes,hypersensitizing,hypersensitized
recruit,recruits,recruiting,recruited
massproduce,massproduces,massproducing,massproduced
double-bank,double-banks,double-banking,double-banked,double-banked
impinge,impinges,impinging,impinged
gobble,gobbles,gobbling,gobbled
extinguish,extinguishes,extinguishing,extinguished
intercalate,intercalates,intercalating,intercalated
decompose,decomposes,decomposing,decomposed
surname,surnames,surnaming,surnamed
evanish,evanishes,evanishing,evanished
slat,slats,slatting,slatted
premier,premiers,premiering,premiered
slap,slaps,slapping,slapped
undercool,undercools,undercooling,undercooled
slam,slams,slamming,slammed
anger,angers,angering,angered
breakfast,breakfasts,breakfasting,breakfasted
recover,recovers,recovering,recovered
slab,slabs,slabbing,slabbed
pong,pongs,ponging,ponged
wassail,wassails,wassailing,wassailed
gangrene,gangrenes,gangrening,gangrened
hideout
begin,begins,beginning,began,begun
mountaineer,mountaineers,mountaineering,mountaineered
sledge,sleds,sleding,sledged
price,prices,pricing,priced
evaporate,evaporates,evaporating,evaporated
syncretize,syncretizes,syncretizing,syncretized
oxidate,oxidates,oxidating,oxidated
dream,dreams,dreaming,dreamt
reform,reforms,reforming,reformed
steady,steadies,steadying,steadied
tooth,tooths,toothing,toothed
slaver,slavers,slavering,slavered
claver,clavers,clavering,clavered
syndicate,syndicates,syndicating,syndicated
overdye,overdyes,overdying,overdyed
boggle,boggles,boggling,boggled
ground,grounds,grounding,grounded
gnaw,gnaws,gnawing,gnawn
title,titles,titling,titled
waddy,waddies,waddying,waddied
industrialize,industrializes,industrializing,industrialized
jolt,jolts,jolting,jolted
transude,transudes,transuding,transuded
unravel,unravels,unravelling,unravelled
stain,stains,staining,stained
skite,skites,skiting,skited
shrill,shrills,shrilling,shrilled
cannon,cannons,cannoning,cannoned
celebrate,celebrates,celebrating,celebrated
deprecate,deprecates,deprecating,deprecated
leather,leathers,leathering,leathered
bullwhip,bullwhips,bullwhipping,bullwhipped
entomb,entombs,entombing,entombed
husband,husbands,husbanding,husbanded
murdabad,murdabads,murdabading,murdabaded
burst,bursts,bursting,burst
allegorize,allegorizes,allegorizing,allegorized
whitewash,whitewashes,whitewashing,whitewashed
unfit,unfits,unfitting,unfitted
inseminate,inseminates,inseminating,inseminated
habilitate,habilitates,habilitating,habilitated
sport,sports,sporting,sported
re-tread,re-treads,re-treading,retrodden
laicize,laicizes,laicizing,laicized
concern,concerns,concerning,concerned
canoodle,canoodles,canoodling,canoodled
pomade,pomades,pomading,pomaded
incite,incites,inciting,incited
glaze,glazes,glazing,glazed
rephrase,rephrases,rephrasing,rephrased
gazette,gazettes,gazetting,gazetted
import,imports,importing,imported
clench,clenches,clenching,clenched
orchestrate,orchestrates,orchestrating,orchestrated
notice,notices,noticing,noticed
pettifog,pettifogs,pettifogging,pettifogged
transpose,transposes,transposing,transposed
rerun,reruns,rerunning,reran,rerun
pluck,plucks,plucking,plucked
blame,blames,blaming,blamed
decoke,decokes,decoking,decoked
hydrate,hydrates,hydrating,hydrated
animalize,animalizes,animalizing,animalized
syllabify,syllabifies,syllabifying,syllabified
cleave,cleaves,cleaving,cloven
glide,glides,gliding,glided
guffaw,guffaws,guffawing,guffawed
pertain,pertains,pertaining,pertained
temper,tempers,tempering,tempered
adhibit,adhibits,adhibiting,adhibited
evict,evicts,evicting,evicted
disentitle,disentitles,disentitling,disentitled
despond,desponds,desponding,desponded
wreathe,wreathes,wreathing,wreathed
mummify,mummifies,mummifying,mummified
dispatch,dispatches,dispatching,dispatched
exploit,exploits,exploiting,exploited
forehand,forehands,forehanding,forehanded
labialize,labializes,labializing,labialized
deregister,deregisters,deregistering,deregistered
uglify,uglifies,uglifying,uglified
resort,resorts,resorting,resorted
sket,skets,sketting,sketted
invert,inverts,inverting,inverted
overjoy,overjoys,overjoying,overjoyed
toss,tosses,tossing,tossed
heattreat,heattreats,heattreating,heattreated
asphyxiate,asphyxiates,asphyxiating,asphyxiated
conflate,conflates,conflating,conflated
agglutinate,agglutinates,agglutinating,agglutinated
exclaim,exclaims,exclaiming,exclaimed
encage,encages,encaging,encaged
crumb,crumbs,crumbing,crumbed
compartmentalize,compartmentalizes,compartmentalizing,compartmentalized
soft-solder,soft-solders,soft-soldering,soft-soldered,soft-soldered
trick,tricks,tricking,tricked
scud,scuds,scudding,scudded
crump,crumps,crumping,crumped
scum,scums,scumming,scummed
trice,trices,tricing,triced
forbear,forbears,forbearing,forbore,forborne
Americanize,Americanizes,Americanizing,Americanized,Americanized
soil,soils,soiling,soiled
suss,susses,sussing,sussed
bias,biases,biassing,biassed
embrace,embraces,embracing,embraced
beaver,beavers,beavering,beavered
hent,hents,henting,hented
worry,worries,worrying,worried
impassion,impassions,impassioning,impassioned
unbutton,unbuttons,unbuttoning,unbuttoned
inquire,inquires,inquiring,inquired
pester,pesters,pestering,pestered
about-turn,about-turns,about-turning,about-turned,about-turned
document,documents,documenting,documented
finish,finishes,finishing,finished
unlace,unlaces,unlacing,unlaced
foal,foals,foaling,foaled
foam,foams,foaming,foamed
crosscheck,crosschecks',cross-checking,crosschecked,cross-checked
fruit,fruits,fruiting,fruited
puff,puffs,puffing,puffed
obvert,obverts,obverting,obverted
smelt,smelts,smelting,smelted
validate,validates,validating,validated
knock-on
desalinize,desalinizes,desalinizing,desalinized
breeze,breezes,breezing,breezed
demean,demeans,demeaning,demeaned
hypostatize,hypostatizes,hypostatizing,hypostatized
alleviate,alleviates,alleviating,alleviated
perpend,perpends,perpending,perpended
coordinate,coordinates,coordinating,coordinated
vomit,vomits,vomiting,vomited
taxi,taxies,taxying,taxied
vent,vents,venting,vented
centuplicate,centuplicates,centuplicating,centuplicated
armour,armours,armouring,armoured
sulphate,sulphates,sulphating,sulphated
touch,touches,touching,touched
tare,tares,taring,tared
speed,speeds,speeding,speeded
domicile,domicils,domiciling,domiciled
refurbish,refurbishes,refurbishing,refurbished
counterpunch,counterpunches,counterpunching,counterpunched
allude,alludes,alluding,alluded
verse,verses,versing,versed
cogitate,cogitates,cogitating,cogitated
Russianize,Russianizes,Russianizing,Russianized,Russianized
disproportionate,disproportionates,disproportionating,disproportionated
lade,lades,lading,laded,laden
ream,reams,reaming,reamed
breastfeed,breastfeeds,breastfeeding,breastfed
frown,frowns,frowning,frowned
stunk,stunks,stunking,stunked
read,reads,reading,read
swig,swigs,swigging,swigged
plodge,plodges,plodging,plodged
detoxify,detoxifies,detoxifying,detoxified
leapfrog,leapfrogs
detract,detracts,detracting,detracted
chemosorb,chemosorbs,chemosorbing,chemosorbed
stunt,stunts,stunting,stunted
reap,reaps,reaping,reaped
hovel,hovels,hovelling,hovelled
rear,rears,rearing,reared
secularize,secularizes,secularizing,secularized
commove,commoves,commoving,commoved
fortune,fortunes,fortuning,fortuned
misquote,misquotes,misquoting,misquoted
roll,rolls,rolling,rolled
engross,engrosses,engrossing,engrossed
interleave,interleaves,interleaving,interleaved
benefit,benefits,benefiting,benefited
hoarsen,hoarsens,hoarsening,hoarsened
ensile,ensiles,ensiling,ensiled
laugh,laughs,laughing,laughed
Orientalize,Orientalizes,Orientalizing,Orientalized,Orientalized
doublecross,doublecrosses,doublecrossing,doublecrossed
uppercase,uppercases,uppercasing,uppercased
squirm,squirms,squirming,squirmed
hebetate,hebetates,hebetating,hebetated
putter,putters,puttering,puttered
squire,squires,squiring,squired
circumnavigate,circumnavigates,circumnavigating,circumnavigated
squirt,squirts,squirting,squirted
underbuy,underbuys,underbuying,underbought
unstring,unstrings,unstringing,unstrung
hustle,hustles,hustling,hustled
sadden,saddens,saddening,saddened
revivify,revivifies,revivifying,revivified
seine,seines,seining,seined
steam-heat,steam-heats,steam-heating,steam-heated,steam-heated
restring,restrings,restringing,restrung
assemble,assembles,assembling,assembled
throw,throws,throwing,threw,thrown
emasculate,emasculates,emasculating,emasculated
placard,placards,placarding,placarded
cutinize,cutinizes,cutinizing,cutinized
discern,discerns,discerning,discerned
chop,chops,chopping,chopped
wolf,wolfs,wolfing,wolfed
internalize,internalizes,internalizing,internalized
unquote,unquotes,unquoting,unquoted
intromit,intromits,intromitting,intromitted
lionize,lionizes,lionizing,lionized
stoke,stokes,stoking,stoked
resuscitate,resuscitates,resuscitating,resuscitated
lob,lobs,lobbing,lobbed
log,logs,logging,logged
countermine,countermines,countermining,countermined
preregister,preregisters,preregistering,preregistered
criminate,criminates,criminating,criminated
wigwag,wigwags,wigwagging,wigwagged
start,starts,starting,started
lop,lops,lopping,lopped
lower,lows,lowing,lowed
lot,lots,lotting,lotted
gudgeon,gudgeons,gudgeoning,gudgeoned
glaciate,glaciates,glaciating,glaciated
groan,groans,groaning,groaned
deject,dejects,dejecting,dejected
recoil,recoils,recoiling,recoiled
gatecrash,gatecrashes,gatecrashing,gatecrashed
hire,hires,hiring,hired
expropriate,expropriates,expropriating,expropriated
skedaddle,skedaddles,skedaddling,skedaddled
hoiden,hoidens,hoidening,hoidened
default,defaults,defaulting,defaulted
enchase,enchases,enchasing,enchased
bucket,buckets,bucketing,bucketed
overpay,overpays,overpaying,overpaid
